strid,Lobith,Cologne,Kaub,Worms,Maxau,Basel
21,1255.893162200625,1196.9165127320653,1005.8115007857144,894.2018697893885,813.5299156032066,715.2871163608065
22,1600.719422155515,1518.6510856945215,1266.797107395259,1105.556310148173,996.9160004555996,862.7625847819739
23,1968.7364337735553,1863.4544681809643,1536.9531045969488,1329.009937314212,1186.7754548282096,1015.2331777623556
24,2371.5175188511066,2228.5405194793316,1817.995098051997,1561.1429323612974,1381.959266829558,1172.4088569163484
25,2798.205131636481,2615.9650565463608,2120.3685217101724,1807.547855922196,1578.162667314959,1332.863968857311
26,1220.1482340776147,1159.3120157261408,972.1225000068424,861.9112252172057,782.098231878971,677.2161372336974
27,1541.8418363246667,1467.980283573268,1221.38432813909,1065.1647431714669,953.2455608250566,811.4494301680139
28,1889.0154849438293,1784.4056861048812,1485.8195849784945,1279.3971398518618,1131.17083038079,955.6262463210372
29,2259.3104718208583,2130.002750867427,1765.4875224675625,1502.260137478171,1315.7214794921151,1103.509122581732
30,2653.5122634458976,2496.234211684174,2065.2535241310397,1740.301525180931,1505.177135931514,1249.7932979334112
31,1193.977934762606,1140.6586012945197,958.4122918054292,850.6556578501322,772.1783875575886,674.8196963034335
32,1513.013986915267,1441.2257387128006,1204.1142361609343,1049.5412935836002,940.6771882171088,810.5908529791336
33,1857.9834629820512,1753.2526525475555,1463.2348744199824,1263.955535241107,1117.2113043852594,954.338696958201
34,2226.0089135937383,2093.398490987087,1741.072460598714,1487.968702910621,1304.208789650849,1103.992479765487
35,2622.4922372971905,2462.880817694396,2038.695547198523,1720.7279068176515,1495.160268028193,1252.4718162081554
36,1174.7368280696437,1119.2293103575846,947.2734625657212,842.9847903456837,765.3438507176692,671.4817082268296
37,1489.7851640810102,1413.0694673100306,1190.152144315632,1042.8261398446664,933.4660303209675,808.1302809452833
38,1832.476602809958,1730.408658153462,1442.0523584496252,1248.4983135855905,1109.0574376244056,949.9885857735596
39,2194.5373665911543,2069.735335127639,1715.484738378771,1469.0117128747954,1294.033944631831,1100.415677746439
40,2586.357521388404,2437.4643378350174,2007.217621221654,1701.4800360346444,1486.0133474505942,1253.486995573239
41,1155.0419298814995,1101.7024590262313,935.4780860703744,832.4593768248816,756.2559532530087,666.1670728806545
42,1468.493722793871,1392.4983694061857,1176.0746819940773,1032.9244984394209,923.4229120913354,803.3064064017111
43,1806.575044691943,1708.9639671170569,1426.0206865127304,1234.312242134763,1098.828380589065,945.0566632114272
44,2165.395848923102,2044.5833054741336,1697.793334194596,1451.0080151394168,1282.6574214630791,1092.1459997963495
